Table 2
ISM-dominated Supernova Remnants and Candidates

Object	R.A.	Decl.	R	D(ext)^a	F(Halpha)^b	F([S II])^b	F([O III])^b	[S II]/Halpha	[O III]/Halpha	X-Ray?^c	Other names^d	
027	13:36:49.12	-29:52:24.9	3.6	2.2	51.2	30.2	7.7	0.59	0.15	n		
028	13:36:49.37	-29:53:20.1	3.9	3.2	119.2	46.9	5.9	0.39	0.05	n		
029	13:36:49.51	-29:51:37.2	3.5	2.6	55.6	17.3	7.1	0.34	0.13	n		
030	13:36:49.63	-29:53:05.5	3.7	4.4	31.9	31.9	7.3	1.00	0.23	n	BL09	
031	13:36:49.64	-29:53:13.5	3.8	2.8	18.6	14.4	12.7	0.77	0.68	n		
032	13:36:49.67	-29:50:34.7	4.1	3.0	27.6	15.4	4.2	0.56	0.15	n		
033	13:36:49.69	-29:54:04.2	4.4	1.8	24.7	18.5	6.8	0.75	0.28	n	BL10	
034	13:36:49.73	-29:50:57.5	3.8	1.8	78.9	39.4	25.3	0.50	0.32	n		
035	13:36:49.82	-29:53:08.3	3.7	1.4	7.0	4.8	1.0	0.69	0.15	n		
036	13:36:49.81	-29:52:17.0	3.4	1.6	38.6	16.9	20.8	0.44	0.54	y	SW010	
037	13:36:50.13	-29:53:08.8	3.6	1.0	9.3	5.4	1.6	0.58	0.18	n		
038	13:36:50.22	-29:51:24.0	3.4	1.6	12.3	6.7	63.4	0.54	0.06	n		
039	13:36:50.29	-29:52:47.3	3.4	2.4	275.6	181.8	63.4	0.66	0.23	n	BL11	
040	13:36:50.45	-29:51:49.3	3.2	3.2	82.9	49.0	14.3	0.59	0.17	n		
041	13:36:50.56	-29:53:03.9	3.4	0.8	9.9	6.1	5.0	0.62	0.51	y		
042	13:36:50.68	-29:52:41.4	3.2	2.0	259.4	101.9	93.7	0.39	0.36	n		
043	13:36:50.76	-29:53:10.6	3.4	2.6	42.3	24.4	3.7	0.58	0.09	n		
044	13:36:50.84	-29:50:18.9	4.0	1.6	44.2	14.6	0.3	0.36	0.01	n		
045	13:36:50.85	-29:52:39.6	3.2	1.8	119.1	68.6	54.5	0.58	0.46	y	SW011	
046	13:36:50.91	-29:52:03.7	3.0	1.4	21.2	18.0	7.1	0.85	0.34	n		
047	13:36:50.93	-29:52:58.5	3.3	1.6	46.7	30.1	14.1	0.65	0.30	n		
048	13:36:51.00	-29:52:25.6	3.1	2.8	133.2	66.8	144.5	0.50	1.08	y	SW012	
049	13:36:51.02	-29:53:01.1	3.3	1.0	19.0	10.1	9.3	0.53	0.49	n		
050	13:36:51.25	-29:52:40.6	3.1	2.8	639.4	195.1	80.8	0.37	0.13	n		
051	13:36:51.33	-29:50:07.1	4.0	1.4	65.8	25.1	2.7	0.38	0.04	n		
052	13:36:51.47	-29:49:28.5	4.7	2.6	8.0	6.2	12.1	0.77	1.51	n		
053	13:36:51.60	-29:52:50.0	3.0	1.6	33.4	17.1	2.0	0.51	0.06	n		
054	13:36:51.70	-29:52:27.5	2.9	2.0	96.0	37.4	12.1	0.39	0.13	n		
055	13:36:51.98	-29:54:52.1	4.8	3.0	28.6	17.4	4.3	0.61	0.15	n		
056	13:36:52.34	-29:50:33.2	3.4	1.8	22.0	13.9	13.0	0.63	0.59	n	BL12	
057	13:36:52.39	-29:50:43.7	3.2	2.4	25.8	18.6	16.9	0.72	0.65	n	BL13	
058	13:36:52.38	-29:52:05.2	2.6	1.8	30.5	19.8	8.3	0.65	0.27	n		
059	13:36:52.55	-29:49:33.1	4.4	2.4	28.3	9.1	19.5	0.32	0.69	n		
060	13:36:52.65	-29:52:41.2	2.7	3.2	258.5	86.8	23.0	0.34	0.09	n		
061	13:36:52.80	-29:51:28.2	2.6	2.2	71.1	32.1	9.9	0.45	0.14	n		
062	13:36:53.00	-29:50:23.9	3.4	1.8	7.1	5.5	9.8	0.77	1.37	n		
063	13:36:53.07	-29:52:16.1	2.4	4.8	49.7	34.0	42.7	0.68	0.86	n		
064	13:36:53.18	-29:52:29.2	2.4	2.8	79.9	37.5	3.4	0.47	0.04	n		
065	13:36:53.24	-29:53:25.3	3.0	1.2	48.1	21.2	26.9	0.44	0.56	y	SW017	
066	13:36:53.30	-29:52:42.5	2.5	1.2	32.9	17.4	7.2	0.53	0.22	y	SW018	
067	13:36:53.29	-29:52:48.1	2.5	1.2	43.6	28.3	30.2	0.65	0.69	y	SW019	
068	13:36:53.32	-29:55:51.4	5.8	3.2	57.6	27.7	7.7	0.48	0.13	n		
069	13:36:53.36	-29:50:38.4	3.1	1.6	15.1	7.7	11.3	0.51	0.75	n		
070	13:36:53.51	-29:52:38.1	2.4	2.6	24.0	15.7	10.3	0.65	0.43	n		
071	13:36:53.64	-29:52:45.9	2.4	2.0	59.5	40.4	21.1	0.68	0.36	n	BL14	
072	13:36:53.77	-29:54:41.1	4.3	2.0	10.5	7.3	10.2	0.70	0.97	n		
073	13:36:53.89	-29:48:48.4	5.1	2.2	378.2	111.6	111.2	0.33	0.29	y	H49;SW020	
074	13:36:54.15	-29:52:09.3	2.1	1.6	39.0	19.3	30.9	0.49	0.79	y	BL15;SW022	
075	13:36:54.23	-29:50:28.0	3.0	1.6	119.5	79.8	49.0	0.67	0.41	y		
076	13:36:54.36	-29:50:17.6	3.2	2.4	26.0	19.2	4.2	0.74	0.16	n		
077	13:36:54.44	-29:56:00.3	5.9	2.0	65.4	30.1	6.7	0.46	0.10	n		
078	13:36:54.47	-29:50:52.8	2.6	1.8	58.8	25.5	8.5	0.43	0.14	n		
079	13:36:54.51	-29:50:25.8	3.0	3.4	214.9	134.1	35.1	0.62	0.16	y	BL16	
080	13:36:54.61	-29:53:04.8	2.4	2.2	181.1	60.9	0.4	0.34	0.00	n		
081	13:36:54.62	-29:53:01.2	2.4	2.6	132.1	41.5	8.7	0.34	0.07	n		
082	13:36:54.78	-29:52:59.5	2.3	2.0	94.0	29.1	5.9	0.33	0.06	y		
083	13:36:54.85	-29:53:04.7	2.4	1.8	125.4	48.1	14.8	0.38	0.12	n		
084	13:36:54.86	-29:50:18.7	3.1	1.6	72.1	47.0	65.7	0.65	0.91	y	BL17	
085	13:36:54.89	-29:49:54.1	3.5	2.4	38.4	17.3	16.3	0.45	0.43	n		
086	13:36:54.95	-29:47:46.0	6.3	3.6	46.2	10.9	27.2	0.33	0.59	n		
087	13:36:55.04	-29:52:39.5	2.0	1.6	92.2	60.0	51.8	0.65	0.56	y	BL18;SW025	
088	13:36:55.03	-29:51:24.7	2.0	2.6	17.9	11.6	15.3	0.65	0.86	n	BL19	
089	13:36:55.07	-29:53:04.5	2.3	1.2	107.4	68.8	28.5	0.64	0.27	y	SW024	
090	13:36:55.14	-29:50:40.8	2.6	2.4	59.6	44.3	60.2	0.74	1.01	y	BL20	
091	13:36:55.22	-29:53:05.0	2.3	1.8	41.9	32.1	17.4	0.77	0.41	n		
092	13:36:55.30	-29:50:37.3	2.6	2.0	50.6	34.0	21.1	0.67	0.42	n	BL21	
093	13:36:55.35	-29:50:53.9	2.3	1.4	19.9	10.5	16.4	0.53	0.82	y		
094	13:36:55.37	-29:49:56.7	3.4	2.8	137.0	53.3	21.2	0.39	0.15	n		
095	13:36:55.39	-29:48:39.2	5.0	2.2	39.9	23.8	31.6	0.60	0.79	n	BL22	
096	13:36:55.47	-29:53:03.3	2.2	1.8	70.2	50.3	36.3	0.72	0.52	n	BL24b	
097	13:36:55.48	-29:52:43.6	1.9	1.8	74.9	51.5	13.4	0.69	0.18	n	BL23	
098	13:36:55.62	-29:53:03.5	2.2	2.0	174.3	109.9	39.8	0.63	0.23	y	BL24;SW028	
099	13:36:55.66	-29:47:37.6	6.4	3.4	68.0	19.1	4.4	0.33	0.07	n		
100	13:36:55.73	-29:49:25.4	4.0	3.0	75.1	35.2	16.8	0.47	0.22	n		
101	13:36:55.80	-29:51:19.7	1.8	2.6	28.2	17.4	30.6	0.62	1.08	n	BL25	
102	13:36:55.83	-29:53:09.1	2.2	3.0	56.7	31.1	16.7	0.55	0.30	n		
103	13:36:55.92	-29:53:10.9	2.2	1.2	8.4	7.1	8.1	0.84	0.96	n		
104	13:36:56.06	-29:56:05.7	5.9	2.6	17.2	12.3	14.7	0.71	0.85	n		
105	13:36:56.10	-29:49:34.9	3.7	2.4	100.1	42.0	9.8	0.42	0.10	n		
106	13:36:56.23	-29:52:55.2	1.9	1.2	29.6	16.1	2.9	0.55	0.10	y	SW029	
107	13:36:56.29	-29:53:13.6	2.2	2.0	8.9	8.3	5.2	0.93	0.58	n		
108	13:36:56.38	-29:49:31.9	3.8	3.0	278.3	92.3	23.0	0.35	0.08	n		
109	13:36:56.80	-29:49:49.8	3.3	1.0	21.1	14.3	18.3	0.68	0.87	n		
110	13:36:56.84	-29:49:25.3	3.8	3.2	42.4	20.9	29.3	0.49	0.69	n		
111	13:36:56.94	-29:54:10.7	3.3	2.8	14.9	13.9	1.9	0.93	0.13	n		
112	13:36:57.15	-29:53:34.0	2.5	2.6	33.4	28.0	21.9	0.84	0.66	n	BL28	
113	13:36:57.86	-29:48:06.0	5.5	2.0	89.8	39.8	10.9	0.44	0.12	n		
114	13:36:57.88	-29:48:12.2	5.4	3.2	26.9	16.3	0.0	0.61	0.00	n		
115	13:36:57.88	-29:53:02.7	1.8	1.6	149.1	47.1	96.7	0.34	0.65	y	SW035	
116	13:36:58.07	-29:53:45.1	2.6	2.0	45.6	28.3	10.5	0.62	0.23	n		
117	13:36:58.55	-29:48:19.7	5.2	2.0	232.5	88.3	107.6	0.38	0.46	y		
118	13:36:58.71	-29:51:00.5	1.5	1.2	37.8	14.9	30.0	0.39	0.79	y	SW041;D10-T2-01	
119	13:36:59.00	-29:52:56.6	1.5	1.2	40.1	14.7	0.0	0.37	0.00	n		
120	13:36:59.00	-29:53:01.3	1.6	1.4	87.3	45.7	26.7	0.52	0.31	n		
121	13:36:59.11	-29:53:43.5	2.5	2.2	44.6	19.3	5.0	0.43	0.11	n	SW042	
122	13:36:59.33	-29:55:08.9	4.5	2.2	90.4	51.7	151.1	0.57	1.67	y	BL29;SW043	
123	13:36:59.35	-29:48:37.8	4.7	1.6	174.5	76.9	8.6	0.44	0.05	y		
124	13:36:59.50	-29:52:03.7	0.5	1.4	55.7	57.2	70.6	1.03	1.27	y	BL31;SW045	
125	13:36:59.50	-29:49:16.9	3.8	2.6	40.3	25.4	9.7	0.63	0.24	n	BL32;D10-T2-04	
126	13:36:59.67	-29:50:32.9	2.0	2.4	18.5	12.6	6.3	0.68	0.34	n	D10-T2-05	
127	13:36:59.85	-29:55:25.9	4.9	1.2	69.6	34.2	82.0	0.49	1.18	y	SW048	
128	13:37:00.03	-29:48:33.5	4.8	2.4	25.1	13.1	4.4	0.52	0.17	n		
129	13:37:00.04	-29:54:17.1	3.3	1.2	7.1	3.2	2.3	0.45	0.32	y	SW051	
130	13:37:00.09	-29:48:40.3	4.6	1.4	37.4	17.8	8.5	0.48	0.23	n		
131	13:37:00.19	-29:48:10.0	5.3	2.6	12.7	12.8	25.0	1.01	1.97	y		
132	13:37:00.33	-29:51:20.8	0.9	1.8	34.2	20.7	40.7	0.61	1.19	n	BL33;D10-T2-07	
133	13:37:00.40	-29:53:22.9	2.0	1.6	12.1	10.4	7.6	0.86	0.62	y		
134	13:37:00.66	-29:54:26.6	3.5	2.0	101.3	59.1	21.7	0.58	0.21	n		
135	13:37:00.70	-29:52:21.7	0.6	2.2	247.9	110.8	9.7	0.45	0.04	n	D10-T2-08	
136	13:37:00.75	-29:53:23.9	2.1	2.6	83.0	29.2	9.1	0.35	0.11	n		
137	13:37:01.02	-29:50:56.3	1.4	1.4	28.2	15.9	34.2	0.56	1.21	y	SW068;D10-T2-09	
138	13:37:01.06	-29:54:15.9	3.3	2.8	61.0	32.6	31.8	0.53	0.52	n		
139	13:37:01.16	-29:57:10.7	7.4	2.4	33.9	19.1	25.6	0.56	0.75	n	BL34	
140	13:37:01.52	-29:50:14.7	2.4	1.8	18.5	14.2	7.6	0.77	0.41	n	BL36	
141	13:37:01.57	-29:49:58.8	2.7	1.6	33.3	19.3	36.1	0.58	1.08	n		
142	13:37:01.67	-29:54:10.3	3.2	2.0	68.7	41.9	58.9	0.61	0.86	y	BL35;SW076	
143	13:37:01.72	-29:51:13.3	1.0	2.4	209.5	111.9	164.2	0.53	0.78	y	BL37;SW077;D10-T2-12	
144	13:37:01.72	-29:54:40.4	3.9	1.6	26.3	14.3	19.9	0.55	0.76	y	BL38	
145	13:37:02.04	-29:52:49.5	1.3	3.4	49.6	31.7	19.2	0.64	0.39	n	BL39;D10-T2-13	
146	13:37:02.09	-29:51:58.5	0.4	2.8	94.4	66.6	3.9	0.71	0.04	n	D10-T2-14	
147	13:37:02.21	-29:49:52.4	2.9	1.2	71.5	42.6	23.1	0.60	0.32	y	BL40;SW080	
148	13:37:02.32	-29:50:07.0	2.5	2.4	23.7	13.3	19.3	0.56	0.82	n		
149	13:37:02.42	-29:54:33.0	3.8	1.8	21.0	13.0	13.4	0.62	0.64	n		
150	13:37:02.42	-29:51:25.7	0.8	1.4	55.7	57.5	64.2	1.03	1.15	y	BL41;SW081;D10-T2-16	
151	13:37:03.02	-29:49:45.6	3.1	1.4	151.4	86.4	21.8	0.57	0.14	y	SW083	
152	13:37:03.46	-29:50:46.4	1.7	2.4	72.6	22.7	7.1	0.36	0.10	n		
153	13:37:03.90	-29:49:42.9	3.2	1.6	94.6	36.7	32.6	0.39	0.34	n		
154	13:37:04.05	-29:54:02.3	3.2	3.4	85.6	48.2	37.8	0.56	0.44	n		
155	13:37:04.13	-29:53:16.5	2.2	3.0	26.5	15.2	23.7	0.57	0.89	n		
156	13:37:04.41	-29:49:38.7	3.3	1.8	196.4	88.1	138.1	0.45	0.70	y	SW089	
157	13:37:04.43	-29:53:47.6	2.9	2.2	81.4	42.3	40.5	0.52	0.50	n		
158	13:37:04.46	-29:54:03.5	3.3	3.4	86.6	40.0	17.3	0.46	0.20	n		
159	13:37:04.51	-29:49:35.8	3.4	1.8	171.1	85.4	91.1	0.50	0.53	y		
160	13:37:04.72	-29:55:34.8	5.4	1.8	77.8	44.1	50.4	0.57	0.65	y	BL42	
161	13:37:04.81	-29:53:53.6	3.1	3.8	61.2	26.7	6.5	0.44	0.11	n	BL43	
162	13:37:04.82	-29:50:06.9	2.7	2.4	47.1	32.3	18.9	0.69	0.40	n	BL44	
163	13:37:04.85	-29:49:42.1	3.2	2.2	32.9	12.9	15.2	0.39	0.46	n		
164	13:37:04.97	-29:50:16.3	2.5	2.2	19.1	13.8	8.0	0.72	0.42	n		
165	13:37:05.59	-29:54:56.3	4.6	2.0	18.0	12.2	20.3	0.68	1.13	n		
166	13:37:05.79	-29:52:46.1	2.0	2.6	29.8	15.3	18.7	0.51	0.63	n	D10-T2-18	
167	13:37:05.87	-29:55:04.1	4.8	2.4	53.8	26.3	9.7	0.49	0.18	n		
168	13:37:06.01	-29:50:04.2	2.9	1.6	38.7	25.3	22.7	0.65	0.59	n	BL45	
169	13:37:06.03	-29:55:14.3	5.0	1.4	120.3	62.8	65.3	0.52	0.54	y	BL46;SW095	
170	13:37:06.16	-29:54:43.5	4.4	1.4	14.0	9.7	34.0	0.69	2.43	y	SW097	
171	13:37:06.44	-29:50:24.9	2.6	2.0	144.9	95.0	35.3	0.66	0.24	y	BL47;D10-T2-19	
172	13:37:06.44	-29:54:27.3	4.1	2.2	33.9	21.6	38.9	0.64	1.15	n	BL48	
173	13:37:06.46	-29:50:06.1	2.9	2.4	38.6	22.7	27.2	0.59	0.71	n	BL49	
174	13:37:06.65	-29:53:33.6	3.0	4.0	71.3	40.9	24.7	0.57	0.35	y	BL50;SW100	
175	13:37:06.82	-29:49:26.3	3.8	2.0	245.4	90.7	35.4	0.37	0.14	n		
176	13:37:06.98	-29:54:16.6	3.9	3.8	22.4	12.8	0.0	0.57	0.00	n		
177	13:37:07.01	-29:49:07.7	4.2	2.8	101.6	61.9	51.9	0.61	0.51	y	BL51	
178	13:37:07.07	-29:53:20.9	2.9	1.6	57.6	36.2	18.7	0.63	0.32	y	BL52;SW102	
179	13:37:07.10	-29:51:01.5	2.2	1.0	32.0	12.5	4.8	0.39	0.15	y	SW104	
180	13:37:07.47	-29:51:33.3	2.0	2.4	201.8	126.3	80.0	0.63	0.40	y	BL53;SW105;D10-T2-22	
181	13:37:07.51	-29:54:16.1	4.0	2.2	26.7	20.8	9.7	0.78	0.36	n	BL54	
182	13:37:07.57	-29:52:18.9	2.1	1.8	19.1	13.4	11.6	0.70	0.61	n	BL55;D10-T2-23	
183	13:37:07.69	-29:51:09.9	2.2	1.0	84.1	37.2	14.8	0.44	0.18	n	D10-T2-21	
184	13:37:07.71	-29:53:01.2	2.7	1.4	42.1	19.8	15.0	0.47	0.36	n		
185	13:37:07.81	-29:54:12.8	4.0	4.0	99.6	47.7	10.2	0.48	0.10	n	BL56	
186	13:37:07.93	-29:49:20.0	4.0	2.0	38.4	28.2	15.6	0.74	0.41	y	BL57	
187	13:37:07.99	-29:51:16.2	2.3	1.6	195.0	63.1	15.2	0.35	0.08	n		
188	13:37:08.09	-29:52:21.1	2.3	2.6	25.5	21.8	10.9	0.85	0.43	n	D10-T2-25	
189	13:37:08.21	-29:53:20.5	3.1	2.4	23.9	10.2	2.9	0.43	0.12	n		
190	13:37:08.48	-29:52:02.0	2.3	2.2	228.1	107.2	22.2	0.47	0.10	y	D10-T2-27	
191	13:37:08.57	-29:51:35.0	2.3	1.4	63.2	45.0	33.8	0.71	0.54	y	BL58;SW109;D10-T2-28	
192	13:37:08.66	-29:51:53.5	2.3	1.8	68.4	38.6	10.1	0.56	0.15	n	D10-T2-30	
193	13:37:08.75	-29:51:37.5	2.4	2.0	67.2	38.1	16.3	0.57	0.24	y	BL59;D10-T2-32	
194	13:37:09.04	-29:51:33.3	2.5	1.2	20.6	15.0	2.9	0.73	0.14	n	D10-T2-33	
195	13:37:09.22	-29:51:33.6	2.5	1.8	23.0	19.5	10.4	0.85	0.45	y	D10-T2-34	
196	13:37:09.69	-29:53:30.3	3.6	2.8	18.8	13.0	17.3	0.69	0.92	n		
197	13:37:10.07	-29:51:28.0	2.8	1.2	108.2	79.1	28.1	0.73	0.26	y	D10-T2-36	
198	13:37:10.19	-29:50:18.1	3.5	2.0	33.1	15.6	1.8	0.47	0.05	n		
199	13:37:10.33	-29:51:28.8	2.9	1.6	151.3	47.8	45.8	0.35	0.30	n	D10-T2-37	
200	13:37:10.74	-29:49:57.2	3.9	1.8	33.5	14.2	5.4	0.42	0.16	n		
201	13:37:10.78	-29:51:44.8	3.0	2.6	42.5	19.0	41.1	0.45	0.97	n	BL60;D10-T2-39	
202	13:37:10.94	-29:49:52.9	4.0	1.6	74.6	30.0	6.8	0.40	0.09	n		
203	13:37:10.96	-29:50:46.4	3.3	1.6	47.0	28.1	25.9	0.60	0.55	y		
204	13:37:11.09	-29:53:17.2	3.8	2.8	21.7	12.9	37.2	0.59	1.71	n		
205	13:37:11.34	-29:54:19.7	4.8	3.8	130.3	50.0	13.6	0.38	0.10	n		
206	13:37:11.47	-29:51:41.3	3.2	1.4	58.5	35.6	36.7	0.61	0.63	y	BL61	
207	13:37:11.48	-29:50:13.4	3.8	1.6	31.5	16.5	21.4	0.52	0.68	y		
208	13:37:11.68	-29:51:39.4	3.3	3.8	58.7	24.1	15.5	0.41	0.26	n	BL62	
209	13:37:11.87	-29:52:15.6	3.4	1.4	73.7	42.7	66.9	0.58	0.91	y	BL63;SW110	
210	13:37:12.46	-29:50:20.3	4.0	1.4	97.5	47.8	9.8	0.49	0.10	y		
211	13:37:12.81	-29:50:12.2	4.2	2.6	49.9	18.7	41.5	0.38	0.83	y	SW115	
212	13:37:12.85	-29:54:38.9	5.5	2.6	20.8	12.8	3.7	0.62	0.18	n		
213	13:37:13.09	-29:51:18.4	3.7	2.8	32.9	20.5	10.5	0.62	0.32	n	BL64	
214	13:37:14.01	-29:52:54.1	4.3	2.8	84.7	52.5	31.0	0.62	0.37	n		
215	13:37:13.97	-29:51:51.1	4.0	2.4	24.7	12.4	29.4	0.50	1.19	n	BL66	
216	13:37:14.35	-29:50:06.4	4.6	1.8	21.0	12.4	2.6	0.59	0.13	n		
217	13:37:14.42	-29:50:21.3	4.5	2.4	34.0	16.9	8.3	0.50	0.24	n	BL67	
218	13:37:14.66	-29:50:33.7	4.4	2.2	78.6	30.6	8.9	0.39	0.11	n		
219	13:37:14.84	-29:54:58.6	6.3	2.0	93.8	60.8	36.3	0.65	0.39	n	BL68	
220	13:37:16.03	-29:53:04.0	5.0	2.0	28.4	10.9	25.0	0.39	0.88	n		
221	13:37:17.21	-29:51:53.4	5.0	1.4	142.8	68.6	93.6	0.48	0.66	y	SW122	
222	13:37:17.26	-29:53:25.0	5.6	2.2	65.6	42.5	42.8	0.65	0.65	n	BL69	
223	13:37:17.42	-29:51:54.0	5.0	1.4	133.3	74.4	27.2	0.56	0.20	y	SW123	
224	13:37:17.49	-29:53:35.8	5.7	2.2	20.1	15.0	4.5	0.75	0.23	n	BL70	
225	13:37:18.74	-29:53:50.6	6.3	2.4	16.7	11.8	25.3	0.70	1.51	n	BL71	

Notes.
a Diameter of circular regions used for flux extractions; this is effectively an upper limit for the object sizes.
b 10-16 erg cm-2 s-1; a correction factor of 1.45 has been applied to Halpha (see the text).
c A "y" indicates a likely X-ray detection in deep Chandra data (K. S. Long et al. 2012, in preparation).
d BL: Blair & Long (2004); SW: Soria & Wu (2003); H: Hadfield et al. (2005); D10: Dopita et al. (2010).
